"Town","FIPS","Year","Business Type","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Total","Number","Employment",1955
"Andover","0901301080","2006-2010","Total","Number","Margins of Error",145
"Andover","0901301080","2006-2010","Self-Employed, Incorporated","Percent","Employment",4.8
"Andover","0901301080","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",2.3
"Andover","0901301080","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",10.5
"Andover","0901301080","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",3.9
"Andover","0901301080","2006-2010","Government","Percent","Employment",18.9
"Andover","0901301080","2006-2010","Government","Percent","Margins of Error",5.2
"Andover","0901301080","2006-2010","Private, Profit","Percent","Employment",58.5
"Andover","0901301080","2006-2010","Private, Profit","Percent","Margins of Error",6.6
"Andover","0901301080","2006-2010","Private, Not-for-profit","Percent","Employment",7.4
"Andover","0901301080","2006-2010","Private, Not-for-profit","Percent","Margins of Error",3.5
"Andover","0901301080","2007-2011","Total","Number","Employment",1777
"Andover","0901301080","2007-2011","Total","Number","Margins of Error",165
"Andover","0901301080","2007-2011","Self-Employed, Incorporated","Percent","Employment",4.5
"Andover","0901301080","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",2.5
"Andover","0901301080","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",10.1
"Andover","0901301080","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",4.7
"Andover","0901301080","2007-2011","Government","Percent","Employment",20.1
"Andover","0901301080","2007-2011","Government","Percent","Margins of Error",5.1
"Andover","0901301080","2007-2011","Private, Profit","Percent","Employment",55.9
"Andover","0901301080","2007-2011","Private, Profit","Percent","Margins of Error",6.2
"Andover","0901301080","2007-2011","Private, Not-for-profit","Percent","Employment",9.3
"Andover","0901301080","2007-2011","Private, Not-for-profit","Percent","Margins of Error",3.9
"Andover","0901301080","2008-2012","Total","Number","Employment",1809
"Andover","0901301080","2008-2012","Total","Number","Margins of Error",157
"Andover","0901301080","2008-2012","Self-Employed, Incorporated","Percent","Employment",3.2
"Andover","0901301080","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",2
"Andover","0901301080","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",6.5
"Andover","0901301080","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",3.2
"Andover","0901301080","2008-2012","Government","Percent","Employment",24.8
"Andover","0901301080","2008-2012","Government","Percent","Margins of Error",6.1
"Andover","0901301080","2008-2012","Private, Profit","Percent","Employment",53.8
"Andover","0901301080","2008-2012","Private, Profit","Percent","Margins of Error",6.9
"Andover","0901301080","2008-2012","Private, Not-for-profit","Percent","Employment",11.6
"Andover","0901301080","2008-2012","Private, Not-for-profit","Percent","Margins of Error",4
"Andover","0901301080","2009-2013","Total","Number","Employment",1706
"Andover","0901301080","2009-2013","Total","Number","Margins of Error",156
"Andover","0901301080","2009-2013","Self-Employed, Incorporated","Percent","Employment",3.7
"Andover","0901301080","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Andover","0901301080","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",7.3
"Andover","0901301080","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",4
"Andover","0901301080","2009-2013","Government","Percent","Employment",24.2
"Andover","0901301080","2009-2013","Government","Percent","Margins of Error",5.8
"Andover","0901301080","2009-2013","Private, Profit","Percent","Employment",50.5
"Andover","0901301080","2009-2013","Private, Profit","Percent","Margins of Error",6.5
"Andover","0901301080","2009-2013","Private, Not-for-profit","Percent","Employment",14.4
"Andover","0901301080","2009-2013","Private, Not-for-profit","Percent","Margins of Error",4.7
"Andover","0901301080","2010-2014","Total","Number","Employment",1775
"Andover","0901301080","2010-2014","Total","Number","Margins of Error",160
"Andover","0901301080","2010-2014","Self-Employed, Incorporated","Percent","Employment",3
